Nome (codificado),Sexo,Localidade,Bolsa Família,Distancia da Escola (Km),Tipo de Escola EF,Renda Familiar,Responsável,Escolaridade do Responsável,Profissão do Responsável,Tamanho Família,Participação Econômica,Media
Aluno 01,0,0,1,20,1,1700,1,2,0,6,1,6.66666666666667
Aluno 02,0,1,0,21,1,3000,1,2,4,4,1,8.51666666666667
Aluno 03,0,1,0,28,1,2840,1,5,0,3,1,7
Aluno 04,0,0,1,5,1,1320,1,2,0,3,1,8.66666666666667
Aluno 05,0,1,0,23,1,2000,1,2,0,4,1,7.3
Aluno 06,0,0,0,5,1,2600,0,5,0,4,1,8
Aluno 07,1,0,1,12,1,1680,1,5,0,4,1,7.33333333333333
Aluno 08,0,1,1,19,1,2300,1,1,4,4,1,6.43333333333333
Aluno 09,0,0,0,5,1,3960,1,4,0,6,1,7.66666666666667
Aluno 10,1,0,1,31.5,1,600,1,5,0,3,1,7.53333333333333
Aluno 11,1,0,1,5,1,700,1,5,0,2,1,7
Aluno 12,0,0,0,3,1,3320,2,2,1,5,1,6.83333333333333
Aluno 13,1,1,0,22,1,1350,1,2,0,4,1,8.1
Aluno 14,0,0,0,5,1,600,2,4,3,5,1,6.16666666666667
Aluno 15,1,1,0,20,1,800,1,2,0,4,1,7.5
Aluno 16,1,0,0,5,1,2200,2,2,0,2,1,7
Aluno 17,1,0,0,19,1,650,1,5,0,4,1,6.5
Aluno 18,0,0,0,17,1,2000,1,2,1,5,1,7.7
Aluno 19,0,1,0,19,1,4200,1,0,1,6,1,7.83333333333333
Aluno 20,0,0,0,16,1,650,1,5,0,3,1,8.33333333333333
Aluno 21,1,0,0,17,1,3440,1,2,0,4,1,6.5
Aluno 22,1,1,1,25,1,2150,0,2,0,3,1,7.33333333333333
Aluno 23,0,0,1,17,1,1050,1,4,0,3,1,7
Aluno 24,0,1,0,20,1,5400,1,2,0,4,1,6.96666666666667
Aluno 26,0,0,1,16,1,2000,1,5,0,8,1,6.33333333333333
Aluno 27,0,1,1,1,1,800,1,4,0,3,1,8.16666666666667
Aluno 28,0,1,0,20,1,2600,1,2,2,4,1,7.83333333333333
Aluno 29,1,0,0,18,1,2900,1,2,2,5,0,8.6
Aluno 30,1,1,1,1,1,1060,1,2,0,5,1,7.33333333333333
Aluno 31,1,0,0,40,1,600,1,5,0,3,1,6
